syscall
shared_region_map_and_slide_np
kas_info
memorystatus_control
guarded_open_np
guarded_close_np
guarded_kqueue_np
change_fdguard_np
usrctl
proc_rlimit_control
connectx
disconnectx
peeloff
socket_delegate
telemetry
proc_uuid_policy
memorystatus_get_level
system_override
vfs_purge
sfi_ctl
sfi_pidctl
coalition
coalition_info
necp_match_policy
getattrlistbulk
clonefileat
openat
openat_nocancel
renameat
faccessat
fchmodat
fchownat
fstatat
fstatat64
linkat
unlinkat
readlinkat
symlinkat
mkdirat
getattrlistat
proc_trace_log
bsdthread_ctl
openbyid_np
recvmsg_x
sendmsg_x
thread_selfusage
csrctl
guarded_open_dprotected_np
guarded_write_np
guarded_pwrite_np
guarded_writev_np
renameatx_np
mremap_encrypted
netagent_trigger
stack_snapshot_with_config
microstackshot
grab_pgo_data
persona
mach_eventlink_signal
mach_eventlink_wait_until
mach_eventlink_signal_wait_until
work_interval_ctl
getentropy
necp_open
necp_client_action
__nexus_open
__nexus_register
__nexus_deregister
__nexus_create
__nexus_destroy
__nexus_get_opt
__nexus_set_opt
__channel_open
__channel_get_info
__channel_sync
__channel_get_opt
__channel_set_opt
ulock_wait
ulock_wake
fclonefileat
fs_snapshot
register_uexc_handler
terminate_with_payload
abort_with_payload
necp_session_open
necp_session_action
setattrlistat
net_qos_guideline
fmount
ntp_adjtime
ntp_gettime
os_fault_with_payload
kqueue_workloop_ctl
__mach_bridge_remote_time
coalition_ledger
log_data
memorystatus_available_memory
objc_bp_assist_cfg_np
shared_region_map_and_slide_2_np
pivot_root
task_inspect_for_pid
task_read_for_pid
preadv
pwritev
preadv_nocancel
pwritev_nocancel
ulock_wait2
proc_info_extended_id
tracker_action
debug_syscall_reject
freadlink
